seed,env_mode,env_init,mechanism,sym_var_init,sym_var_final,sym_var_second_half_mean,collective_var_init,collective_var_final,collective_var_second_half_mean,pairwise_dist_init,pairwise_dist_final,pairwise_dist_second_half_mean,real_var_final,imag_var_final,final_R_A,final_S_A,final_I_A,final_R_B,final_S_B,final_I_B,final_R_C,final_S_C,final_I_C,converged,attractor
5,isolated,8_8_8,delayed,0.222222,0.000000,0.000000,0.074074,2.444444,2.444444,0.666667,4.426029,4.426029,4.666667,2.666667,8,8,6,3,8,8,7,8,4,1,S=8
5,isolated,8_8_8,noisy,0.222222,0.000000,0.017778,0.074074,2.962963,2.536296,0.666667,4.823381,4.481989,4.666667,4.222222,8,8,5,3,8,8,7,8,3,1,S=8
6,shared,5_2_6,off,0.000000,0.000000,0.275556,0.074074,0.074074,0.260741,0.666667,0.666667,1.317491,0.222222,0.000000,7,4,8,6,4,8,6,4,8,1,other_conv
6,shared,5_2_6,hard,0.666667,0.000000,0.000000,0.296296,0.074074,0.127407,1.550094,0.666667,0.716314,0.222222,0.000000,6,0,8,5,0,8,6,0,8,1,S=0
6,shared,5_2_6,soft,0.000000,0.000000,0.000000,0.074074,0.000000,0.106667,0.666667,0.000000,0.639345,0.000000,0.000000,6,8,8,6,8,8,6,8,8,1,S=8
6,shared,5_2_6,delayed,0.666667,0.000000,0.000000,0.296296,0.148148,0.151111,1.550094,0.942809,0.863928,0.222222,0.222222,6,0,8,6,0,8,7,0,7,1,S=0
6,shared,5_2_6,noisy,0.666667,0.000000,0.008889,0.296296,0.148148,0.174815,1.550094,0.942809,1.031259,0.222222,0.222222,8,8,8,8,8,8,7,8,7,1,S=8
6,shared,8_8_8,off,0.000000,0.222222,0.222222,0.000000,0.148148,0.234074,0.000000,1.138071,1.177231,0.000000,0.222222,8,2,8,8,1,8,8,2,7,0,no_conv
6,shared,8_8_8,hard,0.222222,0.000000,0.000000,0.074074,0.148148,0.168889,0.666667,1.138071,1.013742,0.222222,0.222222,8,8,7,8,8,8,7,8,8,1,S=8
6,shared,8_8_8,soft,0.000000,0.000000,0.000000,0.000000,0.074074,0.106667,0.000000,0.666667,0.647155,0.000000,0.222222,6,8,8,6,8,8,6,8,7,1,S=8
6,shared,8_8_8,delayed,0.666667,0.000000,0.000000,0.222222,0.222222,0.130370,1.333333,1.333333,0.804955,0.000000,0.666667,8,8,6,8,8,7,8,8,8,1,S=8
6,shared,8_8_8,noisy,0.222222,0.000000,0.008889,0.074074,0.000000,0.183704,0.666667,0.000000,1.060300,0.000000,0.000000,8,8,8,8,8,8,8,8,8,1,S=8
6,isolated,5_2_6,off,0.000000,4.666667,3.697778,0.148148,4.000000,3.677037,1.138071,5.891869,5.646154,4.666667,2.666667,8,1,6,3,6,8,7,5,4,0,no_conv
6,isolated,5_2_6,hard,0.888889,0.000000,0.000000,0.444444,2.444444,2.296296,1.895186,4.426029,4.228868,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
6,isolated,5_2_6,soft,0.000000,0.000000,0.142222,0.148148,2.444444,2.548148,1.138071,4.426029,4.535398,4.666667,2.666667,8,0,6,3,0,8,7,0,4,1,S=0
